input	country	location	status	place_id_count	place_id	description	place_id	lat	lng	international_phone_number	formatted_phone_number	name	rating	website	url	formatted_address	vicinity
BENH VIEN BUU DIEN	vn	Vietnam	OK	5	ChIJ0YnVyBAmdTERHHjXjIVIkS4	Bệnh viện Bưu Điện 2, Nguyễn Duy Hiệu, Thảo Điền, Ho Chi Minh, Vietnam	ChIJ0YnVyBAmdTERHHjXjIVIkS4	10.8027866	106.7370784	+84 8 3744 4828	08 3744 4828	Bệnh Viện Điều Dưỡng - Phục Hồi Chức Năng Bưu Điện 2	4.5	-	https://maps.google.com/?cid=3355542935798511644	68 Nguyễn Duy Hiệu, Thảo Điền, Quận 2, Hồ Chí Minh, Vietnam	68 Nguyễn Duy Hiệu, Thảo Điền, 2
BENH VIEN BUU DIEN	vn	Vietnam	OK	5	ChIJDQAAAF-sNTERLwGDCLCr4rI	Bệnh viện Bưu Điện, Hanoi, Vietnam	ChIJDQAAAF-sNTERLwGDCLCr4rI	20.9905577	105.8313102	+84 4 3640 0539	04 3640 0539	Bệnh viện Bưu Điện	4	http://hotrosinhsanbenhvienbuudien.com.vn/	https://maps.google.com/?cid=12890053856033177903	2, Tòa nhà Bệnh viện Bưu Điện, 49 phố Trần Điền, Khu đô thị Định Công, Định Công, Hoàng Mai, Khu đô thị Định Công, Định Công Hoàng Mai Hà Nội, Vietnam	Tòa nhà Bệnh viện Bưu Điện, 2, 49 phố Trần Điền
BENH VIEN BUU DIEN	vn	Vietnam	OK	5	ChIJHbqtN4urNTERBK3nXDXE1E4	Bệnh viện Bưu Điện, Huế, Phố Huế, Hanoi, Vietnam	ChIJHbqtN4urNTERBK3nXDXE1E4	21.0115194	105.8519492	+84 4 3976 4463	04 3976 4463	Bệnh viện Bưu Điện	4	http://hospitalvnpt.com.vn/	https://maps.google.com/?cid=5680380763492035844	249 Huế, Phố Huế, Hoàn Kiếm, Hà Nội, Vietnam	249 Huế, Phố Huế
BENH VIEN DA KHOA HA TINH	vn	Vietnam	OK	4	ChIJ1e44GEBOODERV5_BOYMCfnY	Bệnh Viện Đa Khoa thành phố Hà Tĩnh, Hải Thượng Lãn Ông, Hà Tĩnh, Ha Tinh Province, Vietnam	ChIJ1e44GEBOODERV5_BOYMCfnY	18.344592	105.8955123	-	-	Bệnh Viện Đa Khoa tỉnh Hà Tĩnh	4.4	http://www.bvdkht.vn/	https://maps.google.com/?cid=8538264706174000983	75 Hải Thượng Lãn Ông, Bắc Hà, Tp. Hà Tĩnh, Hà Tĩnh, Vietnam	75 Hải Thượng Lãn Ông, Bắc Hà, Thành phố Hà Tĩnh
BENH VIEN DA KHOA HA TINH	vn	Vietnam	OK	4	ChIJA62ojh24OTERqYhb6WouDvk	Bệnh Viện Đa Khoa Đức Thọ, Đức Yên, Ha Tinh Province, Vietnam	ChIJA62ojh24OTERqYhb6WouDvk	18.5147724	105.5937141	-	-	Bệnh Viện Đa Khoa Đức Thọ	3.7	-	https://maps.google.com/?cid=17946332601834506409	Đường Không Tên, Đức Yên, Đức Thọ, Hà Tĩnh, Vietnam	Đường Không Tên, Đức Yên
BENH VIEN DA KHOA HA TINH	vn	Vietnam	OK	4	ChIJOfzIM2tOODERg8loVtUFghk	Bệnh viện Đa Khoa Hà Tĩnh, Bắc Hà, Ha Tinh Province, Vietnam	ChIJOfzIM2tOODERg8loVtUFghk	18.3447143	105.8954237	+84 239 3855 569	0239 3855 569	Ha Tinh General Hospital	-	http://bvdkht.vn/	https://maps.google.com/?cid=1838038011756464515	Bắc Hà, Hà Tĩnh, Ha Tinh Province, Vietnam	Vietnam
BENH VIEN DA KHOA HA TINH	vn	Vietnam	OK	4	ChIJzQUKRgTKOTERpnL9JhzPltg	Bệnh Viện Đa Khoa Thị Xã Hồng Lĩnh, Thị xã Hồng Lĩnh, Ha Tinh Province, Vietnam	ChIJzQUKRgTKOTERpnL9JhzPltg	18.5330545	105.6833053	+84 239 3835 353	0239 3835 353	Bệnh Viện Đa Khoa Thị Xã Hồng Lĩnh	4	-	https://maps.google.com/?cid=15606889278519210662	142 Trần Phú, Bắc Hồng, Tx. Hồng Lĩnh, Hà Tĩnh, Vietnam	142 Trần Phú, Bắc Hồng, Thị xã Hồng Lĩnh
BENH VIEN DA KHOA HUYEN NHO QUAN	vn	Vietnam	OK	1	ChIJVVVVVfiANjERb4SNxuwwXB4	Bệnh viện Đa khoa Huyện Nho Quan, tt. Nho Quan, Ninh Bình Province, Vietnam	ChIJVVVVVfiANjERb4SNxuwwXB4	20.3171716	105.7503047	-	-	Bệnh viện Đa khoa Huyện Nho Quan	5	-	https://maps.google.com/?cid=2187677312496796783	tt. Nho Quan, Nho Quan, Ninh Bình, Vietnam	tt. Nho Quan
BENH VIEN DA KHOA TINH LANG SON	vn	Vietnam	OK	3	ChIJAQAAEBhhtTYRa0p60Ba7Yac	Bệnh viện Đa khoa, Quốc Việt, Lang Son Province, Vietnam	ChIJAQAAEBhhtTYRa0p60Ba7Yac	22.1934419	106.6048166	+84 25 3887 015	025 3887 015	Bệnh viện Đa khoa	-	-	https://maps.google.com/?cid=12061126983736248939	Quốc Việt Bình độ Huyện Tràng Định, Quốc Việt, Tràng Định, Lạng Sơn, Vietnam	Quốc Việt Bình độ Huyện Tràng Định
BENH VIEN DA KHOA TINH LANG SON	vn	Vietnam	OK	3	ChIJdeUxxHFOtTYRv0J1x4pH6Xk	Bệnh Viện Đa Khoa Thành Phố Lạng Sơn, Lạng Sơn, Lang Son Province, Vietnam	ChIJdeUxxHFOtTYRv0J1x4pH6Xk	21.8538568	106.7549522	+84 25 3871 101	025 3871 101	Bệnh Viện Đa Khoa Thành Phố Lạng Sơn	-	-	https://maps.google.com/?cid=8784631209540272831	Phường Tam Thanh, Thành Phố Lạng Sơn, Tỉnh Lạng Sơn, Hoàng Văn Thụ, Phường Tam Thanh, Thành Phố Lạng Sơn, Lạng Sơn, Vietnam	Phường Tam Thanh, Thành Phố Lạng Sơn, Tỉnh Lạng Sơn, Phường Tam Thanh, Thành Phố Lạng Sơn
BNH	th	Thailand	OK	5	ChIJ-wD92C2f4jARtiPNjUSQ1mQ	BNH HOSPITAL Convent Road กรุงเทพมหานคร ประเทศไทย	ChIJ-wD92C2f4jARtiPNjUSQ1mQ	13.724958	100.535071	+66 2 686 2700	02 686 2700	BNH HOSPITAL	4.3	http://www.bnhhospital.com/	https://maps.google.com/?cid=7266153672920081334	Convent Road, Khwaeng Silom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand	Convent Road, Silom, Bang Rak
BNH	th	Thailand	OK	5	ChIJ860Vnd6e4jARZ5ijYObHuG0	BNH Clinic Witthayu Road Pathum Wan Thailand	ChIJ860Vnd6e4jARZ5ijYObHuG0	13.739175	100.5486125	+66 2 686 2727	02 686 2727	BNH Clinic	5	-	https://maps.google.com/?cid=7906288938126645351	87 Witthayu Rd, Khwaeng Lumphini, Khet Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand	87 Witthayu Road
BNH	th	Thailand	OK	5	ChIJNW_7xS2f4jARSdghdI1M_XY	BNH Hospital Office Building Silom Road Bangkok Thailand	ChIJNW_7xS2f4jARSdghdI1M_XY	13.72517	100.534207	+66 2 686 2700	02 686 2700	BNH Hospital Office Building	-	-	https://maps.google.com/?cid=8574093436005767241	Silom Rd - Convent Road, Khwaeng Silom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand	Silom Road, Silom, Bang Rak
BNH	th	Thailand	OK	5	ChIJg-4lbt6Y4jAR0I4u7cKLTbA	B.N.H. Canning Co., Ltd. Khlong San Bangkok Thailand	ChIJg-4lbt6Y4jAR0I4u7cKLTbA	13.7306	100.509	-	-	B.N.H. Canning Co., Ltd.	-	-	https://maps.google.com/?cid=12703963793201204944	425/6-7, Sathorn Place Bldg., Krungdhonburi Rd., Klongtonsai Khlong San, Bangkok 10600, แขวง คลองสาน เขต คลองสาน กรุงเทพมหานคร 10600, Thailand	425/6-7, Sathorn Place Bldg., Krungdhonburi Rd., Klongtonsai Khlong San, Bangkok 10600
BNH	th	Thailand	OK	5	ChIJqYh2oaSf4jARaVo5UJMUVfI	BNH Medical Centre Co., Ltd. Khlong Toei Bangkok Thailand	ChIJqYh2oaSf4jARaVo5UJMUVfI	13.7154761	100.5846596	+66 2 686 2700	02 686 2700	BNH Medical Centre Co., Ltd.	-	https://www.bnhhospital.com/	https://maps.google.com/?cid=17461885753137650281	59/1 Sukhumvit Rd, Khwaeng Phra Khanong, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand	59/1 Sukhumvit Road, Phra Khanong, Khlong Toei
BURAPHA UNIVERSITY	th	Thailand	OK	5	ChIJ-5_-n8K0AjERgtQvbLHaDQA	Burapha University Hospital Long Had Bangsaen Road Saen Suk Chon Buri Thailand	ChIJ-5_-n8K0AjERgtQvbLHaDQA	13.285218	100.922264	+66 38 390 324	038 390 324	Burapha University Hospital	4	http://hsc.buu.ac.th/	https://maps.google.com/?cid=3899630256379010	เลข ที่ 169/382 อำเภอ เมือง 20131, ถนน ลงหาดบางแสน ตำบลแสนสุข อำเภอเมืองชลบุรี ชลบุรี 20130, Thailand	เลข ที่ 169/382 อำเภอ เมือง 20131, ถนน ลงหาดบางแสน, ตำบลแสนสุข, อำเภอเมืองชลบุรี
BURAPHA UNIVERSITY	th	Thailand	OK	5	ChIJOREun555AzERvXEJC6Mk7qM	Burapha University Chanthaburi Campus Khamong Chanthaburi Thailand	ChIJOREun555AzERvXEJC6Mk7qM	12.6121741	101.930428	+66 39 310 000	039 310 000	Burapha University Chanthaburi Campus	4.5	http://www.chanthaburi.buu.ac.th/~public_relations/	https://maps.google.com/?cid=11812419155322827197	Khamong, Tha Mai District, Chanthaburi 22170, Thailand	Tha Mai District
BURAPHA UNIVERSITY	th	Thailand	OK	5	ChIJj7ISEOa0AjERJo6b3J_qGyk	Burapha University Library Muang Chon Buri Thailand	ChIJj7ISEOa0AjERJo6b3J_qGyk	13.2793872	100.9249495	+66 38 102 475	038 102 475	Burapha University Library	3	http://www.lib.buu.ac.th/	https://maps.google.com/?cid=2962219152248114726	Burapha University Library 169 Long-Hard BangsaenRoad, Tambon Saensook, Amphur 20131, ตำบล เหมือง อำเภอเมืองชลบุรี ชลบุรี 20130, Thailand	Burapha University Library 169 Long-Hard BangsaenRoad, Tambon Saensook, Amphur 20131, ตำบล เหมือง, อำเภอเมืองชลบุรี
BV 175	vn	Vietnam	OK	2	ChIJtQH6LeIodTERt_73vXE5r0k	Bệnh viện Quân Y 175, Nguyễn Kiệm, Ho Chi Minh City, Ho Chi Minh, Vietnam	ChIJtQH6LeIodTERt_73vXE5r0k	10.8182631	106.6790566	+84 96 983 10 10	096 983 10 10	Bệnh viện Quân Y 175	3.8	http://benhvien175.vn/	https://maps.google.com/?cid=5309525646374338231	786 Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh, Vietnam	786 Nguyễn Kiệm, Phường 3, Hồ Chí Minh
BV 30/4	vn	Vietnam	OK	1	ChIJh7mlJuMudTERypwNPF9ciQI	Bệnh viện Công an 30/4, Sư Vạn Hạnh, Ho Chi Minh City, Ho Chi Minh, Vietnam	ChIJh7mlJuMudTERypwNPF9ciQI	10.7592733	106.6729133	+84 8 4693 6468	08 4693 6468	Bệnh viện Công an 30/4	4.2	http://benhvien304.com.vn/	https://maps.google.com/?cid=182778823984389322	9 Sư Vạn Hạnh, phường 9, Quận 5, Hồ Chí Minh, Vietnam	9 Sư Vạn Hạnh, phường 9, Hồ Chí Minh
