A. ZARATE GENERAL HOSPITAL	----->Pulanglupa, Las Piñas City
BALIBAGO POLYCLINIC	----->AND HOSPITAL Sta. Rosa, Laguna
BALINDONG DISTRICT	----->HOSPITAL Balindong, Lanao del Sur
BALITUCAN DISTRICT HOSPITAL	----->San Pablo, Magalang, Pampanga
BALIUAG DISTRICT HOSPITAL	----->Sabang Baliuag,Bulacan
BALLESTEROS DISTRICT HOSPITAL	----->Ballesteros, Cagayan Valley
BALLESTEROS MATERNITY	----->AND LYING-IN CLINIC Centro East, Ballesteros Cagayan
BALO-I PROVINCIAL HOSPITAL	----->Balo-I, Lanao Del Norte
BALUD MUNICIPAL HOSPITAL	----->Balud, Masbate
BANEZ HOSPITAL	----->(former BAÑEZ CLINIC) Carmen, Rosales, Pangasinan
BANGUED CHRISTIAN HOSPITAL	----->Torrijos St., Bangued, Abra
BANGUI DISTRICT HOSPITAL	----->Bangui, Ilocos Norte
BANSALAN MEDICAL CLINIC	----->Bansalan, Davao del Sur
BANTAYAN DISTRICT HOSPITAL	----->Bantayan Island, Cebu
BARILI DISTRICT HOSPITAL	----->Barili, Cebu
BARLIG DISTRICT HOSPITAL	----->Barlig, Mt. Province
BARON-YEE HOSPITAL	----->Padada, Davao Del Sur
BAROTAC VIEJO DSTRICT	----->HOSPITAL Barotac Viejo, Iloilo
BASA AIR BASE HOSPITAL	----->Floridablanca, Pampanga
BASEY DISTRICT HOSPITAL	----->Basey, Western Samar
BASILAN COMMUNITY	----->HOSPITAL, INC Isabela City, Basilan
BASILAN GEN. HOSPITAL	----->Basilan, Isabela
BATAAN DOCTOR'S HOSPITAL	----->Dona Francisca Subd. Balanga City, Bataan
BATAAN GENERAL HOSPITAL	----->Balanga, Tenejero Bataan Tenejero, Balanga
BATAAN PENINSULA	----->MEDICAL CENTER Dinalupihan, Bataan
BATAAN ST. JOSEPH HOSPITAL	----->Don Manuel Banzon St. Balanga, Bataan
BATAAN WOMEN'S HOSPITAL INC.	----->St. Joseph Subd., Balanga City
BATANES GENERAL HOSPITAL	----->Basco, Batanes
BATANGAS HEALTHCARE HOSPITAL	----->(former Jesus Nazarene Medical Center) Brgy. Gulod Itaas, Batangas City
BATANGAS REGIONAL HOSPITAL	----->Batangas City
BATO MATERNITY AND	----->CHILDREN'S HOSPITAL Bato, Catanduanes
BAUAN DOCTORS GEN. HOSPITAL	----->Bauan, Batangas
BAUAN GENERAL HOSPITAL	----->Bauan, Batangas
BAUTISTA HOSPITAL	----->Caridad, Cavite City
BAYAMBANG DISTRICT HOSPITAL	----->Bayambang, Pangasinan
BAYAWAN DISTRICT HOSPITAL	----->Bayawan, Negros Oriental
BAYUGAN COMMUNITY HOSPITAL	----->Bayugan, Agusan del Sur
BAYUGAN J.M. YAP STO. NIÑO	----->HOSPITAL Rotunda, Bayugan Agusan del Sur
BEATO CAUILAN HOSPITAL	----->Villa Carolina I, National Highway Tunasan, Muntinlupa City
BENDIJO HOSPITAL (former St. Anthony	----->General Hospital) Hagonoy, Davao del Sur
BENGUET GENERAL HOSPITAL	----->Km. 5, La Trinidad, Benguet
BERACHAH MEDICAL CLINIC	----->Nat'l. Hi-way, Brooke's Point Palawan
BERMUNDEZ POLYMEDIC HOSPITAL	----->Tala, Kalookan City
BERNARDINO GENERAL HOSPITAL I	----->680 Quirino Highway, Sn. Bartolome, Novaliches Quezon City
BERNARDINO GENERAL HOSPITAL II	----->North Olympus Subd. Quezon City
BESSANG PASS MEMORIAL	----->HOSPITAL Cervantes, Ilocos Sur
BESSAO DISTRICT HOSPITAL	----->Bessao, Mt. Province
BETHANY HOSPITAL	----->Real St., Tacloban City
BETHANY HOSPITAL, INC.	----->San Fernando City, La Union
BETHEL BAPTIST HOSPITAL, INC.	----->Sumpang, Malaybalay Malaybalay City
BICOL MEDICAL CENTER	----->Concepcion Pequeña Sr. Naga City, Camarines Sur
BICOL REGIONAL TRAINING	----->AND TEACHING HOSPITAL Rizal St., Legaspi City, Albay
BICOL SANITARIUM	----->Cabusao, Camarines Sur
BILIRAN PROVINCIAL HOSPITAL	----->Naval, Biliran
BINALBAGAN INFIRMARY	----->Rizal, Binalbagan Negros Occidental
BIÑAN DOCTOR'S HOSPITAL, INC.	----->Platero, Biñan, Laguna
BINDOY DISTRICT HOSPITAL	----->Bindoy, Negros Oriental
BIRHEN SA REGLA MEDICAL	----->CLINIC Tulunan, North Cotabato
BIRI DISTRICT HOSPITAL	----->Biri, Northern Samar
BISHOP JOSEPH REAGAN	----->MEMORIAL HOSPITAL Christ the King, Tagum City
BISLIG DISTRICT HOSPITAL	----->Bislig, Surigao del Sur
BLANCIA HOSPITAL	----->Molave, Zamboanga del Sur
BLESSED FAMILY DOCTORS	----->GENERAL HOSPITAL San Carlos City, Pangasinan
BLESSED TRINITY MATERNITY	----->& MEDICAL HOSPITAL Unit I Bufer Bldg. Avatec Road Marcos Highway, Mayamot Antipolo City
BOGO MEDELLIN MEDICAL CENTER	----->Medellin, Cebu
BOHOL SAINT JOSEPH CLINIC	----->Tubigon, Bohol
BOHOL ST. JOHN	----->COMMUNITY HOSPITAL Nar. Hi-way, Canaya-on Garcia Hernandez, Bohol
BOHOL ST. JUDE HOSPITAL	----->Tagbilaran City
BOISER MEDICAL CLINIC	----->Sto. Tomas, Daval del Norte
BOLINAO MEDICARE	----->COMMUNITY HOSPITAL Bolinao, Pangasinan
BONDOC PENINSULA	----->DISTRICT HOSPITAL Catanauan,Quezon
BONGABON DISTRICT HOSPITAL	----->Curva, Bongabon, Nueva Ecija
BONGABONG COMMUNITY	----->HOSPITAL Bongabong, Oriental Mindoro
BONGAO DOCTOR'S HOSPITAL	----->(formerly Tawi-Tawi Doctor's Hospital) Brgy. Mampallan, Bongao, Tawi-Tawi12
BONGCAS HOLY CHILD	----->HOSPITAL Poblacion, Maramag, Bukidnon
BONIFACIO MEDICAL CLINIC	----->Bonifacio, Misamis Occidental
BONTILAO'S COUNTRY CLINIC	----->Maranding, Lala, Lanao Del Norte
BONTOC GENERAL HOSPITAL	----->Bontoc, Mt. Province
BONTUYAN MEDICAL CLINIC	----->Polomolok, South Cotabato
BORBON GENERAL HOSPITAL	----->Pagadian City, Zamboanga del Sur 15
BORJA FAMILY HOSPITAL	----->CORPORATION Tagbilaran City
BORONGAN DOCTORS'	----->HOSPITAL Borongan, Eastern Samar
BRENT HOSPITAL & COLLEGES, INC.	----->R.T. Lim Blvd., Zamboanga City
BRIGADIER GEN. BENITO EBUEN	----->AIR BASE HOSPITAL Lapu-Lapu City
BROKENSHIRE INTEGRATED	----->HEALTH MINISTRIES, INC. Madapo Hills, Davao City
BUCAG'S HOSPITAL	----->Cauayan City, Isabela
BUCAY MUNICIPAL HOSPITAL	----->Siblong, Bucay, Abra
BUDA COMMUNITY HEALTH CARE CENTER	----->Marilog Dist. Davao City
BUENAVISTA EMERGENCY HOSPITAL	----->Mac Lain, Buenavista, Guimaras
BUGALLON GENERAL HOSPITAL	----->AND DIABETES CENTER Bugallon, Pangasinan
BUGASONG MEDICARE	----->COMMUNITY HOSPITAL Bugasong, Antique
BUKIDNON COMMUNITY	----->HEALTH CARE CENTER Fortich St., Purok 15 Valencia City, Bukidnon
BUKIDNON PROVINCIAL	----->HOSPITAL - KIBAWE Kibawe, Bukidnon
BUKIDNON PROVINCIAL	----->HOSPITAL - KALILANGAN West Pob., Kalilangan, Bukidnon
BUKIDNON PROVINCIAL	----->HOSPITAL - MALITBOG Malitbog, Bukidnon
BUKIDNON PROVINCIAL HOSP.-	----->MANOLO FORTICH Manolo Fortich, Bukidnon
BUKIDNON PROVINCIAL HOSPITAL-	----->MARAMAG BUKIDNON North Poblacion, Maramag Bukidnon
BUKIDNON PROVINCIAL HOSP.	----->(IPHO) of MALAYBALAY CITY Malaybalay City, Bukidnon
BUKIDNON PROVINCIAL HOSP.-	----->SAN FERNANDO San Fernando, Bukidnon
BUKIDNON PROVINCIAL HOSPITAL-	----->TALAKAG Talakag, Bukidnon
BULACAN MATERNITY &	----->CHILDREN HOSPITAL (formerly Calumpit District Hospital) Canlogan, Calumpit, Bulacan
BULACAN MEDICAL CENTER	----->Majon, Malolos, Bulacan
BULACAN MEDICAL MISSION	----->GROUP PHARMACY & HOSPITAL - TURO BRANCH Bocaue, Bulacan
BULACAN POLYMEDIC HOSPITAL	-----># 113 Cagayan Valley Road Sta Cruz, Guiguinto, Bulacan
BULALACAO COMMUNITY HOSPITAL	----->Bulalacao, Oriental Mindoro
BULAN MUNICIPAL HOSPITAL	----->Mojon, Bulan, Sorsogon
BULLECER MEDICAL CLINIC	----->Toril, Davao City
BULUAN DISTRICT HOSPITAL	----->Buluan, Maguindanao
BULUSAN FAMILY CLINIC	----->Bulusan, Sorsogon
BUNAWAN DISTRICT HOSPITAL	----->Bunawan, Agusan del Sur
BUNGABONG-SANICO	----->MEDICAL HOSPITAL Sto. Tomas, Davao del Norte
BURAUEN DISTRICT HOSPITAL	----->Burauen, NorthernLeyte
BURUANGA MUNICIPAL HOSPITAL	----->Buruanga, Aklan
BUSTOS COMMUNITY HOSPITAL	----->Bustos, Bulacan
BUTUAN DOCTORS' HOSPITAL, INC.	----->J. C. Aquino Ave.,Butuan City
BUTUAN MEDICAL CENTER	----->Km 5 Baan, Butuan City
BUTUAN PUERICULTURE CENTER	----->No. 394 INC ELISA R.OCHOA MEMORIAL MATERNITY & GEN. HOSPITAL 702 San Jose St., Butuan City
C & H MEDICAL AND SURGICAL CLINIC	----->Alaminos City, Pangasinan
C.M. RECTO MEMORIAL	----->DISTRICT HOSPITAL Rizal St., Infanta, Quezon
C.P. REYES HOSPITAL	----->Tanauan, Batangas
CABA MEDICARE 	----->COMMUNITY HOSPITAL Caba, La Union
CABADBARAN DISTRICT HOSP.	----->Cabadbaran, Agusan del Norte
CABANGAN INFIRMARY	----->Dolores, Cabangan Zambales
CABATUAN FAMILY CLINIC	----->AND HOSPITAL Cabatuan, Isabella
CABIAO GENERAL HOSPITAL, INC.	----->San Fernando Sur, Cabiao Nueva Ecija
CABINTE MATERNITY AND	----->CHILDREN'S' HOSPITAL Talon 5, Las Pinas City
CABREDO GENERAL HOSPITAL	----->Tabaco City, Albay
CADIZ DISTRICT HOSPITAL	----->Hortencia, Cadiz City, Negros Occidental
CADULONG MEDICAL CLINIC	----->Roxas, North Cotabato
CAGAYAN DE ORO MATERNITY	----->CHILDREN'S HOSPITAL AND PUERICULTURE CENTER Tiano Justo Gaerlan Street Cagayan De Oro City
CAGAYAN DE ORO MEDICAL CENTER, INC.	----->Tiano-Nacalaban St. Cagayan de Oro City
CAGAYAN DE ORO POLYMEDIC	----->GENERAL HOSPITAL Don Apolinario Velez St. Cagayan de Oro City
CAGAYAN DE ORO POLYMEDIC	----->MEDICAL PLAZA Kauswagan, Cagayan De Oro City
CAGAYAN DE TAWI-TAWI	----->DISTRICT HOSPITAL Brgy. Lupa Lupa Mapun,Tawi-Tawi
CAGAYAN VALLEY MEDICAL CENTER	----->Carig, Tuguegarao, Cagayan
CAGAYAN VALLEY ADVENTIST	----->HOSPITAL INC. Santiago City, Isabela
CAGRARAY DISTRICT HOSPITAL	----->Cabasan, Bacacay, Albay
CAINGLET MEDICAL CLINIC	----->Panabo, Davao del Norte
CALALANG GENERAL HOSPITAL	----->16R Valenzuela St., McArthur H-way, Marulas,Valenzuela City
CALAMBA DISTRICT HOSPITAL	----->Calamba, Misamis Occidental
CALAMBA DOCTOR'S HOSPITAL	----->Parian, Calamba City, Laguna
CALAMBA MEDICAL CENTER	----->Calamba City, Laguna
CALATAGAN MEDICARE HOSPITAL	----->Calatagan, Batangas
CALATRAVA DISTRICT HOSPITAL	----->Calatrava, Negros Occidental
CALBAYOG DISTRICT HOSPITAL	----->Calbayog City, Western Samar
CALBAYOG SANITARIUM AND HOSPITAL	----->Calbayog City, Western Samar
CALLANG GENERAL HOSPITAL	----->Santiago City, Isabela
CALLEJO MEDICAL CLINIC	----->545-A Talon Garden Las Piñas City
CAMARINES NORTE	----->PROVINCIAL HOSPITAL Daet, Camarines Norte
CAMIGUIN GENERAL HOSPITAL	----->Mambajao, Camiguin
CAMP AQUINO STATION HOSPITAL	----->Camp Aquino, Northern Luzon Command, San Miguel, Tarlac
CAMP BRIG.GEN. SALIPADA	----->K. PENDATUN HOSPITAL Camp. BGSKP, Parang, Maguindanao
CAMP EVANGELISTA STATION	----->HOSPITAL 4th ID PA Patag, Cagayan de Oro City
CAMP GENERAL ARTEMIO	----->RICARTE STATION HOSPITAL Pto. Princesa City, Palawan
CAMP GEN. EMILIO AGUINALDO	----->STATION HOSPITAL Camp. Gen. E. Aguinaldo Murphy, Cubao, Quezon City
CAMP LAPU-LAPU ARMY	----->STATION HOSPITAL Lahug, Cebu
CAMP LUKBAN STATION HOSPITAL	----->Catbalogan, Samar
CAMP MELCHOR F. DELA CRUZ	----->STATION HOSPITAL Camp MPI, Gamu, Isabela
CAMP NAKAR STATION HOSPITAL	----->Camp Guillermo Nakar Lucena City, Quezon
CAMP NAVARRO GEN. HOSPITAL	----->Upper Calarian, Zamboanga City
CAMP PANACAN STATION	----->HOSPITAL SOUTHERN AFP Camp Panacan, Davao City
CAMP PERALTA STATION HOSPITAL	----->Camp Peralta, Jr., 3rd Infanty (Spearhead) Div. PA, Jamindan, Capiz
CAMP SIONGCO STATION HOSPITAL	----->CP B. Gen. Gonzalo H. Siongco, Awang, Maguindanao
CAN - AVID MUNICIPAL HOSPITAL	----->Can-Avid, Eastern Samar
CANDELARIA DISTRICT	----->HOSPITAL Yamat, Candelaria, Zambales
CANDELARIA MUNICIPAL	----->HOSPITAL Candelaria, Quezon
CANDIJAY MEDICARE	----->COMMUNITY HOSPITAL Candijay, Bohol
CANDON GENERAL HOSPITAL	----->Candon, Ilocos Sur
CANLAON DISTRICT HOSPITAL	----->Canlaon City, Negros Oriental
CAPAZ MULTI-SPECIALTY HOSP.	----->M.H. Del Plar St., Sto. Rosario Capaz, Tarlac
CAPITOL MEDICAL CENTER	----->17 Panay Avenue, Quezon City
CAPITOL UNIVERSITY MEDICAL	----->FOUNDATION, INC. Gusa Highway, Cagayan De Oro City
CAPIZ DOCTOR'S HOSPITAL	----->Fuentes Drive, Roxas City
CAPIZ EMMANUEL HOSP., INC.	----->Roxas Avenue, Roxas City
CAPT. RUPERTO LUZON	----->MEMORIAL HOSPITAL Duero, Bohol
CAPUL DISTRICT HOSPITAL	----->Capul, Northern Samar
CARAGA HOSPITAL INFANT	----->CARE LYING IN CENTER J.C. Avenue, Libertad Butuan City
CARAGA REGIONAL HOSPITAL	----->Rizal St., Surigao del Norte
CARAMOAN MUNICIPAL	----->HOSPITAL Tawag, Caramoan, Camarines Sur
CARAMORAN MUNICIPAL	----->HOSPITAL Datag, Caramoran, Catanduanes
CARDINAL SANTOS MEDICAL CENTER	----->Wilson St., Greenhills, San Juan
CARIGARA DISTRICT HOSPITAL	----->Carigara, Northern Leyte
CARLITO O. ALVIZO AND	----->CHILDREN'S CLINIC Cantilan, Surigao Del Sur
CARLOS MEDICAL AND	----->MATERNITY CLINIC Cardona, Rizal
CARMEN COPPER CORP. HOSPITAL	----->Don Andres Soriano, Toledo City
CARMEN DISTRICT HOSPITAL	----->Carmen, Davao del Norte
CARMEN MEDICAL CLINIC &	----->HOSPITAL Carmen, Davao del Norte
CARMELITE HOSPITAL	----->Nat'l. Highway, Panabo City Davao del Norte
CARRANGLAN MEDICARE &	----->COMMUNITY HOSPITAL Carranglan, Nueva Ecija
CASAUL GENERAL HOSPITAL, INC.	----->16 Tandang Sora Ave. Novaliches, Quezon City
CASIGURAN DISTRICT HOSPITAL	----->Brgy. Marikit, Casiguran, Aurora
CASTRO MATERNITY & GENERAL	----->HOSPITAL (former CASTRO MATERNITY HOSPITAL) Baliuag, Bulacan
CATAINGAN DISTRICT HOSPITAL	----->Cataingan, Masbate
CATALAN MEDICAL HOSPITAL	----->Carmona, Cavite
CATARMAN DISTRICT HOSPITAL	----->Catarman, Camiguin
CATEEL DISTRICT HOSPITAL	----->Cateel, Davao Oriental
CATIGBIAN DISTRICT HOSPITAL	----->Catigbian, Bohol
CATUBIG DISTRICT HOSPITAL	----->Catubig, Northern Samar
CAUAYAN DISTRICT HOSPITAL	----->Cauayan City, Isabela
CAUAYAN FAMILY HOSPITAL	----->Prenza, Cauayan City, Isabela
CAUAYAN MEDICAL SPECIALIST	----->HOSPITAL Cauayan City, Isabela
CAUAYAN MUNICIPAL HOSPITAL	----->Cauyan, Negros Occidental
CAVITE MEDICAL CENTER	----->Cavite Blvd., Dalahican, Cavite
CAVITE MUNICIPAL HOSPITAL	----->Maragondon, Cavite
CAVITE NAVAL HOSPITAL	----->Cavite City
CAWAYAN MUNICIPAL HOSPITAL	----->Cawayan, Masbate
CEBU CITY MEDICAL CENTER	----->Natalio, Bacalso Avenue, Cebu City
CEBU DOCTORS' HOSPITAL	----->Osmeña Blvd., Cebu City
CEBU NORTH GENERAL HOSPITAL	----->Talamban, Cebu City
CEBU PUERICULTURE CENTER	----->& MATERNITY HOSPITAL B. Rodriguez, Cebu City
CEBU SOUTH GENERAL HOSPITAL	----->National Road, Tuyan,Naga, Cebu 50
CEBU VELEZ GEN. HOSPITAL, INC.	----->F. Ramos, Cebu City
CEFERINO L. JIMENEZ CHILD CLINIC	----->San Fernando City, Pampanga
CENTENO MEDICAL SPECIALISTS	----->HOSPITAL INC. Bansalan, Davao Del Sur
CENTRAL AZUCARRERA	----->DON PEDRO HOSPITAL Nasugbu, Batangas
CENTRAL ILOCOS SUR DISTRICT	----->HOSPITAL Narvacan, Ilocos Sur
CENTRAL LUZON DOCTORS	----->HOSPITAL San Vicente, Tarlac City
CENTRAL LUZON STATE	----->UNIVERSITY HOSPITAL Muñoz, Nueva Ecija
CENTRAL MINDANAO	----->UNIVERSITY HOSPITAL Musuan, Maramag, Bukidnon
CEREVILLE MEDICAL CLINIC	----->Sta. Cruz, Davao del Sur
CHARLES W. SELBY MEMORIAL	----->HOSPITAL, INC. Aparri, Cagayan
CHAVEZ MEDICAL CLINIC	----->Pob. Dinas, Zamboanga del Sur
