RSU Ratatotok - Buyat	JL. JW Lasut Ratatotok II District Ratatotok
RSU Prof. RD Kandou Manado	Jl. Raya Tanawangko 56, Manado
RS Dr. Tadjuddin Chalid, MPH	Jl. Paccerakkang 67 / Pajjaiang Power Makassar
RSU Dr Wahidin Sudirohusodo	Jl. Pioneer Independence Km.11 Makasar
RS UNIVERSITY RIAU	COMPLEX OF NEW SIMPANG WIDYA KM 12.5, PANAM
RS Dr. Suyoto Pusrehab Kemhan	Jl. RC. Veteran No. 178 Bintaro
RS protector CIPINANG	Jl. 170 B Raya Bekasi Timur, East Jakarta
RSU Adhyaksa	Jl. Raya Hankam No. 60 Ceger Cipayung
RS Dental & Oral UnSoed	Jl. Dr. Soeparno Purwokerto
RS NATIONAL DIPONEGORO	Jl.Prof.Soedarto, Tembalang, Semarang
RS LPK Malang	Jl. Asahan 7 Malang
PS the Hospital. Dentist Education Fak. Medical Un	Jl. Sutomu, Village Pinaesaan, Kec.Wenang
RSU Dr. Zainoel Abidin	Jl. TGK David Beureueh, NO. 108 B. Aceh
Banda Aceh Mental Hospital	Jl. Dr.T.Syarief Thayeb, 25 Banda Aceh
Mother and Child Hospital in NAD Province	Jl. Prof.A.Madjid Ibrahim I, no. 3 Banda Aceh
Leprosy Hospital Lau Simomo	Lau village Simomo, Kec.Kabanjahe, Kab.Karo
RSJ Prof. Dr. Muhammad Ildrem	Jl. Tali Air 21 Padang Bulan, Medan
Leprosy Hospital Sicanang Island	Sicanang Pulau Belawan, Medan
RSU Haji Medan	Jl. RS. Haji Medan Estate
RSU Pariaman	Jl. Prof M Yamin SH No. 5, Kampung Baru, Pariaman
RS LUNG WEST SUMATRA	Jl. M. Djamil No. 110 Lubuk Alung
RSJ Prof.Dr. Hasan Basri Saanin Datuk Tan Pariama	Jl. Raya Ulu Gadut, Padang
Arifin Achmad, Pekanbaru	Jl. Diponegoro No. 2, Pekanbaru
Hospital Petala Earth 	Jl. Dr. Soetomo 65, Pekanbaru
Handsome Psychiatric Hospital	Jl. HR Subrantas Km.12,5, Pekanbaru
RSU Raden Mattaher Jambi	Jl. Lt. Suprapto 31, Jambi
Psychiatric Hospital Jambi	Jl. Dr. Purwadi Km.9,5, Jambi
RS ERNALDI BAHAR	Jl. Translucent Terminal No. 02, KM. 12 District of Alang Alang Lebar Palembang
Special Hospitals Public Eye	Jl. Cabbage. H. Burlian KM.6
SSR GM South Sumatra Province	Jl. cabbage. H. Burlian KM. 6 Palembang
RSU Dr M Yunus Bengkulu	Jl. Bayangkara S.Mulyo, Bengkulu
RSJ Soeprapto Bengkulu	Jl. Bhakti Husada West Rim Bengkulu
RSU Dr H Abdul Moeloek	Jl. Dr. Rival 6, Penengahan B.Lampung
Psychiatric Hospital Bandar Lampung	Jl. Kingdom Gd.Tataan KM 13 Bandar Lampung
Psychiatric Hospital Sungai Liat	Jl. Jend Sudirman, Sungai Liat
RS PROVINCE DR. IR. H. SOEKARNO	Jln. Zipur Anyir Water Village, District Merawang
RSU Tanjung Uban	Jl. Indun Suri-Simpang Busung No.1, Tanjung Uban Riau Islands
RSU Field Lingga	Jl. Masjid Sultan Lingga No. 46 Kp. land .Kab.Lingga
Hospital Riau Islands Province Tanjungpinang	JL. WR Supratman No. 100 Km. 8 Tanjungpinang
RSU THOUSAND ISLANDS	Scout Island, Kel. Bake Island
General Hospital Tebet	Jl. Prof. Supomo, SH No. 54 Village Tebet Tebet Barat 12810
Hospital District of Pesanggrahan	I Cenek road no. 1 Guest Houses
General Hospital Jagakarsa	Jl. JL. Moh. Kahf I No.27A, District jagakarsa
Hospital District of Mampang Prapatan	Jl. Captain P. Tendean No. 9A South Jakarta
Hospital MARKET WEEK	JL. TB. Simatupang NO. 1 VILLAGE Ragunan, DISTRICT SUNDAY MARKET - JAKARTA
Budhi Asih Hospital	Jl. Dewi Sartika, Cawang III / 200, East Jakarta
RSU Haji Jakarta	Jl. Raya Pondok Gede Jaktim
Psychiatric Hospital Duren Sawit	Jl. New Duren Sawit, East Jakarta
GENERAL HOSPITAL DISTRICT KRAMAT JATI	Jln. Raya Inpres 48
Public Hospital District of Ciracas	Shooting Cibubur road 1, District Ciracas
Hospital District of Sawah Besar	Jl. Dwi Color Raya No. 6-8
Kemayoran Sub-District Hospital	Jl. Serdang Baru I Ex. Serdang district. Kemayoran
GENERAL HOSPITAL DISTRICT CEMPAKA WHITE	South Jl.Rawasari No1
Public Hospital District of Johar Baru	Jl. High ground XII, Johar Baru
Cengkareng Hospital	Bumi Indah Raya Cengkareng Jl.Kamal East Cengkareng
Kembangan Sub-District General Hospital 	Jl. Topaz Raya F 2 No. 3, Meruya Ilir, Kembangan
Public Hospital District of Kalideres	jl. One March 48 Pegadungan Village, District Kalideres - West Jakarta
Koja Sub-District General Hospital	Jl. Walang Permai No. 39
Al Ihsan Hospital of West Java Province	Jl. Kiatramanggala Bale Endah
RSTP Sidawangi	Jl. Source-Mandirancan Cirebon
West Java Provincial Mental Hospital	Jl. Colonel Masturi KM 7 Cisarua - Bandung West
Hospital Prof. Dr. M Soekarjo	Jl. Dr Gumbreg No. 1 Purwokerto
Dr.RMSoedjarwadi Psychiatric Hospital Klaten	Ki Jalan Pandanaran Km. 2, Klaten
Leprosy Hospital Kelet Donorejo	Jl. Kingdom Kelet KM 33 Jepara
RSU Dr. Moewardi Surakarta	Jl. Col. Sutarto 132, Surakarta
Psychiatric Hospital Surakarta	Jl. KH Devantoro 80, Jebres
Psychiatric Hospital Dr. amino Gondohutomo	Jl. Brig Sudiarto No. 347, Semarang
Tugurejo Hospital Semarang	Jl. Walisongo KM 8.5 Semarang
RS LUNG Respira YOGYAKARTA	JL Panembahan Senopati No. 4, Palbapang, Bantul, Yogyakarta
RSU Dr. Haryato Lumajang	Jl. Basuki Rahmat No.5, Lumajang
RSTP Jember	Jl. Nusa Indah No. 28 Jember
Leprosy Hospital Sumberglagah	Dsn. Sumberglagah Ds. Tanjungkenongo Pacet Mojokerto
RSTP Dungus	Jl. Raya Dungus - Wungu, Madiun
Lung Hospital Manguharjo Madiun	Yos Sudarso 108-112 Manguharjo
Leprosy Hospital Nganget	Pos Jojogan Bojonegoro Tuban
RSU Asy-Syaafi Pamekasan	JL. Bonorogo 17 Pamekasan Madura
Leprosy Hospital Kediri	Jl. Veteran No. 48, Kediri
RSU Dr. Saiful Anwar	Jl. Attorney General Suprapto 2 Malang
RSU Dr. Soedono Madiun	Jl. Dr. Soetomo 59, Madiun
RSU Dr. Soetomo	Jl. Prof Dr. Moestopo 6-8 Surabaya
Psychiatric Hospital Menur	Jl. Menur 120 Surabaya
Special Hospital Lung Surabaya	Surabaya
RSU Haji Surabaya	Jl. Manyar Kertoadi Surabaya
Public Eye Hospital in East Java	JL. Gayung Kebonsari No. 49 Surabaya East
RSU Karsa Husada	Jl. A. Yani No.10-13 Stone
Hospital Malingping	Jl. Raya Saketi km.1, Malingping Kab.Lebak
Hospital BANTEN	JL Nawawi Sheikh Al-Bantani, District Cipocok Jaya Kel Banjarsari
Bali Provincial Mental Hospital	Jl. Yudha Kusuma No. 29 Bangli
Eye Specialty Hospital Bali Mandara	Jl. Angsoka No. 8 Denpasar
RS HL MANAMBAI ABDULKADIR	Jl. Cross-Bima Sumbawa KM. 5, Sumbawa Besar
Hospital NTB	Jl. King Rangkasari Dasan Cermen
NTB Provincial Mental Hospital	Jl. A Yani no. 1 Selagalas Cakranegara, Mataram
RSU Prof. Dr. WZ Johannes	Jl. Dr Moch Hatta No. 19 Kupang
RSU Dr Sudarso PTK	Jl.dr. Soedarso 1 Pontianak
Kuhl River Regional Psychiatric Hospital	Jl. Ali Anyang No. 1 Pontianak
Psychiatric Hospital Singkawang	Jl. Singkawang Bengkayang KM 17
Leprosy Hospital Singkawang	Jl. Gn Sari 70 Singkawang
Hospital JARAGA SASAMEH	Jl. Patianom 6, Buntok
Dr. Doris Sylvanus Hospital	Jl. Tambun Bungai 4 Palangkaraya
RSJ Kalawa Atei	Jl. Trans P. Raya - Kuala Kurun KM. 16 Desa Bukit Rawi
RSJ Sambang Lihum	Jl. Governor Syarkawi KM.3,9 Kec.Gambut
RSUD Ulin Banjarmasin	Jl. Jen A Yani No.43, Banjarmasin
Hospital Dr.H.Moch.Ansari Saleh	Jl. Brig Gen H Hasan Basry 1, Banjarmasin
The Hospital GUSTI HASAN SAFE	Jalan Simpang Ulin No. 28
Hospital Dr. Kanujoso Djatiwibowo	Jl. MT Haryono Ring Road Balikpapan 656
Hospital HA Wahab Sjahranie	Jl. Dr. Soetomo, Samarinda
Psychiatric Hospital Atmamahusada Mahakam / Samarinda	Jl.Kakap 23 Samarinda
Tarakan Hospital	Jl. P. Irian No.01
RSU Noongan	Jl.Raya Noongan West Langowan
Psychiatric Hospital Prof. Dr. VL Ratumbusyang	Jl. Bethesda 77 Manado
RSU Bitung	Jl. SH-nembo Sarundayang Manembo Bitung
Hospital La Temmamala	Jl. Melaka Raya Watansoppeng
RSU LOVE PEOPLE	Jl. Pahlawan No. 1000 Kec.Biringkanaya
RSU Labuang Baji	Jl. Dr. 81 Ratulangi Makassar
RSIA Pertiwi Makasar	Jl. Jend.Sudirman 14, Makasar
RSB St Fatimah	Jl. Gunung Merapi No. 73 Makassar
RSU Haji Makassar	Jl. Dg. Ngeppe No. 14 Makassar
Hospital District. South Konawe	Jl. Poros Andoolo No. 1
RSU Bahteramas Southeast Sulawesi Province	Jl.Kapten Piere Tendean No. 50 district Baruga
Hospital Dr.HASRI AINUN HABIBIE	Jl. Kusno Tongkodu No. 149 Limboto
Hospital West Sulawesi	Jl. Marthadinata
RSU Dr M Haulussy Ambon	Jl. dr Kayadoe Ambon
RSU Ternate	Jl. High ground Ternate
RSU Jayapura	Jl. Health I # 01 Dok II Jayapura
RSU Abepura	Jl. Health No. I Abepura, Jayapura
Psychiatric Hospital Abepura	Jl. Health II Abepura, Jayapura City
Hospital Simeulue	ROAD Hospital Simeulue
Hospital Aceh Singkil	Jl. Rimo / Singkil Km.8
RSU Dr. H.Yulidin Away	Jl. Mahmud T.Ben 86 A, Tapaktuan
RSU H. Sahudin Kutacane	Jl. Kutacane Raya - Blang Kejeran KM 3 Kutacane
Dr. Zubir Mahmud	Jl. Medan-Banda Aceh Km. 350 Village West Seuneubok Kec.Idi east Kab.Aceh east
Hospital Alaiddin Said Maulana Sultan Abdul Aziz Shah 	Jl. Monisa Peureulak East Aceh
RSU Datu Beru Takengon	Jl. 153 Hospital district. Plumpness
RSU Cut Nyak Dien	Jl. Gajah Mada Meulaboh
Hospitals district of Aceh Besar	Jl. Banda Aceh-Medan KM.25 Sinyeu Indrapuri
Sigli Hospital was Tgk Chik Ditiro	Jl. Prof. A. Majid Ibrahim Sigli
TGK Hospital. ABDULLAH Syafii BEUREUNEUN	Jl. Banda Aceh - Medan Km.125,5 City Mini - Beureunuen
RSU Dr. Fauziah Bireuen	Jl. Maj T. Hamzah Treasurer 13. Bireuen
RSU Tengku Peukan	Blang Pidie, Aceh Barat Daya
Hospital Gayo Flexible	Jl.Pangur-Sangir, district Dabun Bracelet
Hospital Tamiang	Jl. Health, Kab.Aceh Tamiang
Nagan Raya Hospital	Jl. National Km.28,5 Edge Patihah
Teuku Umar Hospital District of Aceh Jaya	Jln. Ali Gunong, Lr. PMI No. 1, Calang, district. Krueng Sabee
Hospital Muyang Kute redelong BENER MERIAH 	Jl. Sp.Teritit _ Sp.Tiga, redelong, Sp.Empat Kute Dry, redelong
Hospital PIDIE JAYA	Jl. Banda - Aceh KM. 158, Meureudu
RSU Cut Meutia Lhokseumawe	Jl. Banda Aceh-Medan KM.6 Buket Rata Lhokseumawe
RSU Gunung Sitoli	Jl. dr. Ciptomangunkusumo No 15 Gunungsitoli
Dr. Husni Thamrin	Jl. Multatuli No. 72 district. Christmas Kab. Mandailing Natal Prop. North Sumatra
RSU Panyabungan	Jl. Merdeka 40, Teakwood Panyabungan
RSU Sipirok	Jl. RSU 1, Sipirok Tapsel
Old Mountain Hospital	JL. RAYA OLD MOUNTAIN - Binanga, KM-6
Hospital Sibuhuan	Jln. KH. Dewantara Sibuhuan district. Barumun
Pandan Hospital	Jl. Dr. FL. Tobing No. 05 Pandan
RSU Tarutung	Jl. Agus Salim No. 1 Tarutung
RSU Dr Hadrian Sinaga	Jl. Dr Hadrian Sinaga No. 86 Pangururan
RSU Dolok bun	Jl. Ferdinand L Tobing NO.1, Doloksanggul
RSU Porsea	Jl. King Sipakko Napitulu, Ds. Parparean, district. Porsea, Kab. Toba Samosir
RSU Rantau Prapat	Jl. KH Dewantara 129, Rantau Prapat
RSU H.Abd.Manan Simatupang, Range	Jl. Singamangaraja No. 310 range
RSU Parapat	JL. COLONEL TPR SINAGA, PARAPAT
Hospital Simalungun	Jl. Radjadmin Purba, SH. Trading
Hospital LORD RONDAHAIM	Simalungun district government SKPD Office Complex
RSU Sidikalang	Jl. Hospital 19, Sidikalang
RSU Kabanjahe	Jl. Captain Happy Ketaren No. 08 Kabanjahe
Deli Serdang Hospital	Jl. Thamrin
RSU Tanjung Pura	Jl. Khairil Anwar 9 Tanjung Pura
Lukas Hospital Hilisimaetano	South Nias Regency
Salak Hospital Kab.PakPak Bharat	Jl. King David, Kab.Pakpak Bharat
Hospital Sultan Sulaiman Alam Syariful	Serdang Bedagai
Hospital COAL	Jl. Datuk Dome of Coal, Kuwala Mountains district. Fifty Kab. Coal
Hospital Kota Pinang	Jl. Istana No. 26
DISTRICT AEK Hospital Kanopan	Jln. General Sudirman. No. 25 Aek Kanopan
Kep Hospital. Mentawai	Jl. Raya Tuapejat KM.9 - North Sipora
Hospital Dr. Muhammad Zein Painan	Jln. A. Rival No. 1 Painan South Coastal District
RSU Muara Labuh	Jl. Raya km.1, Muara Labuh Solok
Hospital Arosuka, Solok	Jl. Lintas Sumatera Aro Likes Solok, Kab.Solok
Regional General Hospital Sijunjung	Jl. Lintas Sumatera Land Km.110 Badantuang
RSU Prof Dr MA Hanafi	Jl. Bundo Kanduang no 1 Batusanggkar
Padang Pariaman Hospital	Jl.Raya Parit Padang Bukittingi Km.42 Malintang
Dr. ACHMAD dervish	Jl. Tan Malaka 1, Kec.Suliki
RSU Lubuk cone	Jl. M. Hatta Padang Baru, Lubuk cone
RSU Lubuk Sikaping	Jl. Jen Sudirman No.33, Lubuk Sikaping
RSU Sungai Dareh	Jl. Lintas Sumatera KM 2, Kec.Pulau Arbor Kab.Dharmasraya
Hospital West Pasaman	Jl.Jenderal Sudirman, Simpang Ampek, West Pasaman
Hospital Teluk Kuantan	Jl. Health No. 1 Sinambek
RSU Indrasari Rengat	Jl. East Sumatera Rengat
RSU Puri Husada Tembilahan	Jl. Veteran 52, Hilir Tembilahan
Hospital RAJA MUSA	JL. Tunas Harapan River Guntung
Hospital Tengku Firstborn	Supporting Jl Kijang Island, Kec.Reteh
Basil Hospital Riau	Jl.Rumah Hospital No.01 Pkl Kerinci
Siak Hospital	Jl. 1 Kampung Raja Kecik in, Siak Sri Indrapura
RSU Bangkinang	Jl. A Rahman Saleh, Bangkinang
REGIONAL GENERAL HOSPITAL Rokan Hulu	Jl. Shaykh Ismail, Sand Pengaraian.
RSU Bengkalis	Jl. Central Kelapapati 90, Bengkalis
Hospital Kec.Mandau	Jl. Stadium 10 Duri, Bengkalis
RSUD.Dr. RM Pratomo Bagansiapiapi	Jl. Heroes # 13, Bagansiapiapi
DISTRICT hospitals Meranti Islands	JL. Dorak
RSU May.HA Talib / Full River	Jl. Basuki Rahmat Full River, Kerinci
Hospital Colonel Abundjani / Bangko	jl. Health No.20, Bangko
Hospital Prof.DR.HMChatib Quzwain	Jl. Trans Sumatra Km.09 Hill Village, Sarolangun
Hospital HAMBA Batang Hari	Jl. Prof. Dr. Sri Sudewi, SH Muarabulian
Hospital Muaro	Jl. East Cross komp.perkantoran hills Cinto recalls
Hospital Sungai Bahar	Jl. Soekarno Hatta
Hospital Sungai Gelam	Jl. Ketaling KM. 21 Sungai Gelam
Nurdin Hamzah Hospital	Jl. WR. Suresh Ex. Parit Culum I district. Muara Sabak West
RSU KH. David Arif	Jl. Syarif Hidayatullah, Kuala Tungkal
Hospital Sultan Taha Saifuddin	Jl. Sultan Taha Saifuddin km. 04 Tebo
Hospital H. Hanafi / Muara Bungo	Jl. Teuku Umar 88 Muara Bungo
Hospital Dr. Ibnu Sutowo Baturaja	Jl. Dr. Moh.Hatta 1, Balfour
RSU Kayuagung	Jln.Letjen Joseph Singedekane Kayuagung
RSU Muara Enim	Jl. Sultan Mahmud Badarudin II No. 49
Hospital Talang Ubi	Jl. Taman Siswa, Kel. Bhayangkara market, district. Talang Ubi
RSU Lahat	Jl. Harun Sohar Letjend 28
Hospital Kab.Musi Rawas	Jl.Kesehatan 1 grand village mace excl. Rupit
Muara District Hospital Beliti	Jl. Poros Agropolitan Center
RSU Sekayu	Jl. Cabbage. Wahid Udin Environment I Ex. Kayuara district. Sekayu Kab.Musi Banyuasin
Hospital Sungai Lilin	Jl. Palembang-Jambi Km.117 Sungai Lilin
Hospital Bayung Lencir	Jl Raya Palembang-Jambi KM 200 district, Bayung Lencir
Hospital Muaradua	Jl. Ranau Raya Desa Suka Jaya Kec.Muaradua
Hospital Martapura	Jl. Lt. Muchtar No. 185 Village dam Sari subdistrict Martapura
Oku Hospital East (Gumawang)	Jl. Kingdom Belitang Rasuan 1 Sincere Ayu Belitang Madang subdistrict Kingdom
Hospital Ogan Ilir	Local government office complex Ogan Ilir subdistrict village sejaro magic Indralaya
Hospital Tebing Tinggi district. four Lawang	Jl. Fortress cliff No. 01 Ex. Kupang district. High cliff
RSU Dr. Sobirin Musirawas	Jl. Yos Sudarso 13, Lubuk Linggau
Hasanuddin Hospital Damrah Manna	Jl. Raya Padang Panjang Manna
RSU Curup	Jl. Basuki Rachmat 10 Duumvirate Curup
RSU Arga Makmur	Jl. Siti Khadijah No. 08 Arga Makmur
RS Moving Enggano	Jl. Kingdom Malakoni KM3 Enggano
Hospital Kaur	Inner Light Village district. Semidang Gumay Kab. Kaur
Hospital Tais Kab.Seluma	Jl. Raya Bengkulu - Manna KM.64, Tais
Hospital Mukomuko	Jl. Lake Township Nibung-Sp 6
Hospital Lebong	Jl. MuaraAman-Curup Muning Agung Village district. Lebong Sakti Kab.Lebong
Hospital Kepahiang	Jl. Cross Kepahiang_Bengkulu KM 03 village dam Monok Kepahiang
Hospital Central Bengkulu	Jl. Raya Bengkulu - Kepahyang Km.34,5 Ds. I plow
RSU Liwa	Jl. Teuku Umar No. 3, Lampung Barat
RSU Pringsewu	Jl. Health No.1360, Pringsewu
Hospital Dr. H. Bob Bazar, SKM	Jl. Lt. Rohani 14 B, Trump
Hospital Sukadana	Jl. Adnan Sanjaya, Lintas Timur, Sukadana, Lamp.Timur
Hospital demat Sepulau Kingdom	Jl. Kampung Raya Lintas Sumatera Terbanggi Supreme Kec.Gunung Sugih Middle Kab.Lampung
RSU May Jen HM Ryacudu	Jl. Jend.Sudirman 2 Kotabumi
Hospital Zainal Abidin Pagar Alam	Jl. Raya Lintas Sumatera, Blambangan Umpu
Hospital Menggala Tulang Bawang	Menggala, Kab.Tulang Onions
Hospital Pesawaran	Jln. Raya Desa Gedong Kedondong Tataan district. Gedong Settings
RSU Sungai Liat	Jl. Jend Sudirman 195, Sungailiat
Hospital DR. EKO MAULANA ALI	Jl. Kingdom Belinyu Hamlet Simp. Cangkum, Village Riding Long Belinyu - Bangka
Hospital Belitung	Jl. Melati No. 1 Tanjung Pandan, Kab.Belitung
Hospital Sejiran Setason	Jl. Kadur In Muntok, Ex. Air Belo, Ke
Hospital Central Kab.Bangka	Jl. By Pass Koba, Central Bangka
Hospital Toboali South Kab.Bangka	Jl. Kingdom Gadung Toboali
Hospital East Kab.Belitung	Jl. Raya Hanging Ds. Padang East Belitung
Hospital Karimun	Jl. Soekarno - Hatta, Tg Balai Karimun
Hospital Bintan	Jl. Health 1 - Sub Kijang City - District of East Bintan
Hospital Natuna	Jl. H.Ali Murtopo, Natuna
Field RSU Anambas	Payalaman Village, District Palmatak
Hospital Dabo	Jl. Health 1, Dabo Singkep
RS Moving Jemaja	Jl. Padang restless
RSU Cibinong	JL. KSR DADI Kusmayadi NO. 27 CIBINONG BOGOR
RSU Ciawi	Jl. Raya Puncak Ciawi 479
Hospital Leuwiliang	Jl. Raya Cibeber - Leuwiliang
Hospital Cullinan BOGOR DISTRICT WEST JAVA	Jl. Cullinan-Jonggol Raya KM.10 Bogor Regency Village Cipeucang Cullinan
RSU Sekarwangi	Jl. Siliwangi 49 Cibadak Sukabumi
RSU Pelabuhan Ratu	Street. A. Yani 2 Palabuhanratu
Hospital Jampang Kulon	Jl. Cibarusah 1 Jampang Kulon, Kab.Sukabumi
RSU Cianjur	Jl. 1 Hospital Cianjur
Hospital Cimacan	Jl. Raya Cimacan 17, Cianjur
RSU Majalaya	Jl. Cipaku 87 Paseh Regency Bandung
Hospital Soreang	Jl. Alun-Alun Utara No. 1 Soreang
Hospital Cicalengka	Jl. H. Darham 35 - Cikopo Cicalengka Kab. duo
Hospital Dr. Slamet	Jl. 12 Garut Hospital
Hospital Pameungpeuk KAB. GARUT	Jl. Miramareu Raya No. 99 Village Sirnabakti district. Pameungpeuk
Dr. Soekardjo	Jl. Hospital 33 Tasikmalaya
RS Singaparna MEDIKA CITRAUTAMA	Jl. Rancamaya singaparna
Hospital Ciamis	Jl. Hospital 76 Hospital Road Ciamis
Banjar Hospital	Jl. Hospital No. 5 Banjar, West Java
Hospital Brass	Jl. General Sudirman No. 68 Brass
Hospital Linggajati BRASS	HIGHWAY 36 BANDORASA wetan Cilimus
Hospital Waled	Jl. King Kiansantang No. 4 Waled, Cirebon
Hospital Arjawinangun	Jl. Palimanan - Jakarta Km.2 1 Arjawiangun
Hospital Majalengka	Jl. 77 Health Majalengka
Hospital Cideres	Jl. Raya Cideres-Duchy No. 180 Bojong Cideres Dawuan
Hospital Sumedang	Jl. P.geusan ulun No. 41 / Jl.Palasari No. 80 Sumedang
Indramayu Hospital	Jl. Nara's No. 7 Sindang Indramayu
Hospital Pantura MASentot Patrol	Jl. Raya Patrol KM.46, Indramayu
Hospital Subang	Jl. Brig Katamso No. 37
Bayu Asih Hospital	Jl. Veteran No. 39 Purwakarta
Hospital Karawang	Jl. Galuh Mas Raya 1, Sukaharja, Teluk Jambe, Karawang
Hospital Kab.Bekasi	Jl. Teuku Umar Cibitung, Bekasi
Hospital Cililin	Jl. Blocks Love Working Cililin Rural District of Cililin
Hospital LEMBANG	JL. RAYA LEMBANG KM.11,4 Kahuripan WAREHOUSE DISTRICT NO.11 VILLAGE LEMBANG
RSU Cilacap	Jl. Gatot Subroto 28 Cilacap RT 04 / RW O5
Hospital Majenang	Jl. Dr. Soetomo No. 54 Majenang
Hospital Banyumas	Jl. 1 Hospital Banyumas
Hospital Ajibarang	Jl. Raya Pancasan 1, Ajibarang Banyumas
Dr. R. GOETENG TAROENADIBRATA	Jl. Students' Army Purbalingga No. 22
Lodging Regional Maternity Hospital Panti Nugroho	Jl. Lt. Col. Isdiman No 20 Purbalingga
Hospital Hj. ANNA LASMANAH	Jl. General Sudirman 42 Banjarnegara
RSUD Kebumen	Jl. South Rim, Muktisari Kebumen
Hospital Dr. Tjitrowardojo Purworejo	Jl. Jen Sudirman 60 Purworejo
RSU Wonosobo	Jl. Hospital No.1, Wonosobo
Muntilan Hospital District. Magelang	Jl. Kartini 13 Muntilan
Hospital Pandan Arang Boyolali	Jl. Kantil No. 14, Boyolali
Hospital Banyudono	Jl. Raya Solo - Boyolali KM.10 Kuwiran Kec.Banyudono Kab.Boyolali
Hospital Simo	Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali
REGIONAL GENERAL HOSPITAL Bagas WARAS	Jalan Ir. Soekarno Km 2 Bundle of Klaten
Hospital Sukoharjo	Jl. Dr Muwardi 71, Sukoharjo
Hospital Dr. Soediran MS Wonogiri	Jl. Jend A Yani No. 40, Giriwono Wonogiri
RS Astrini	JL. Brigjend Katamso, Kaliancar, Selogiri.
Hospital Karanganyar	Jl. Yos Sudarso Karanganyar
Dr. SOEHADI PRIJONEGORO	Jl. 534 Raya Sragen, Sragen
Dr. Soeratno Gemolong	Jl.DR Soetomo No. 792 Gemolong
Hospital Dr. R.Soedjati Soemodiardjo	Jl. DI Panjaitan 36, Purwodadi
RS Dr. R. Soetijono Blora	Jl. Dr Sutomo No. 42, Central BloraJawa
RS Dr. R. Soeprapto Cepu	Jl. Ronggolawe No. 50, Cepu
Dr. R. Soetrasno Rembang	Jl. Heroes # 16, Rembang
Hospital RAA Soewondo	Jl. Dr. Susanto No. 114
Hospital Pati Kayen	Jl. 1 Hospital Pati Kayen
Dr. LOEKMONO HADI	Jl. Dr. Lukmonohadi 19, Holy
RSU RA Kartini	Jl. KH Wahid Hasyim Jepara
RSU Sunan Kalijaga	Jl. Sultan Fatah No. 669/50, Demak
Hospital Ambarawa	Jl. Kartini 101, Ambarawa
Hospital Ungaran	Jl. Diponegoro 125, Ungaran
Djojonegoro Waterford Regional Hospital	Jl.GAJAHMADA 1A
RSU Dr. H.Soewondo Kendal	Jl. Sea No. 21, Kendal
Hospital District. rod	Jl. Dr Sutomo No. 42 rods
Kraton Hospital District. Pekalongan	Jl. Veteran 31, Pekalongan
Hospital Kajen Kab.Pekalongan	Jl. Raya Karangsari Karanganyar
